Item,Módulo,Regla/Tema,Referencia Legal,Implementación,Estado,Severidad,Evidencia,Acción,Responsable,Fecha Objetivo
DTE-031,l10n_cl_dte,i18n en_US,Odoo i18n,i18n/,Gap,P3,Solo encontrado es_CL.po,"Generar en_US.po (1 día)",Dev Team,2025-12-31
DTE-032,l10n_cl_dte,Smoke Test XSD Tipo 52,Testing,tests/smoke/,Gap,P3,Falta smoke_xsd_dte52.py,"Crear smoke test (2 horas)",QA Team,2025-12-15
DTE-033,l10n_cl_dte,Fixtures edge cases,Testing,tests/fixtures/,Gap,P3,Falta fixtures con descuentos/recargos complejos,"Expandir fixtures (1-2 días)",QA Team,2026-01-15

REPORTES-001,l10n_cl_financial_reports,Framework account.report,Odoo 19 CE,models/account_report.py:7,OK,N/A,Herencia correcta + account.report.line + expression,Ninguna,N/A,N/A
REPORTES-002,l10n_cl_financial_reports,Balance General (CL),NIIF + SII,data/account_report_balance_sheet_cl_simple.xml,OK,N/A,Sprint 1 completo + 12 tests,Ninguna,N/A,N/A
REPORTES-003,l10n_cl_financial_reports,Estado de Resultados (CL),NIIF + SII,data/account_report_profit_loss_cl_data.xml,OK,N/A,Sprint 1 completo + 14 tests,Ninguna,N/A,N/A
REPORTES-004,l10n_cl_financial_reports,PDF Dinámico (QWeb),Odoo QWeb,reports/account_report_balance_sheet_cl_pdf.xml,OK,N/A,100% dinámico + tests validan ausencia placeholders,Ninguna,N/A,N/A
REPORTES-005,l10n_cl_financial_reports,Plan de Cuentas SII Oficial,SII Plan Oficial,models/account_report.py,Gap,P0,No se valida estructura oficial SII,"Agregar campo l10n_cl_sii_category + validación (3-5 días)",Dev Team,2025-11-22
REPORTES-006,l10n_cl_financial_reports,Balance 8 Columnas SII Oficial,Anexo I001/I002,models/balance_eight_columns.py,Gap,P0,Modelo existe pero falta data XML con estructura oficial,"Crear data XML I001/I002 + auto-detección tamaño empresa (5-8 días)",Dev Team,2025-11-29
REPORTES-007,l10n_cl_financial_reports,Código SII por cuenta,Mapeo SII,account.account,Gap,P1,No existe campo sii_code en account.account,"Agregar campo l10n_cl_sii_code (2 días)",Dev Team,2025-12-06
REPORTES-008,l10n_cl_financial_reports,Validación Multi-moneda SII,SII multi-moneda,test_reports_edge_cases.py:425,Gap,P1,Test existe pero no valida tasa Banco Central,"Validar tasa oficial (3 días)",Dev Team,2025-12-13
REPORTES-009,l10n_cl_financial_reports,F29 Formato Oficial,Formulario SII F29,data/account_report_f29_cl_data.xml,Gap,P1,Modelo existe pero falta validar formato SII,"Validar exportación oficial (2 días)",Dev Team,2025-12-20
REPORTES-010,l10n_cl_financial_reports,F22 Formato Oficial,Formulario SII F22,data/account_report_f22_cl_data.xml,Gap,P1,Modelo existe pero falta validar formato SII,"Validar exportación oficial (2 días)",Dev Team,2025-12-20
REPORTES-011,l10n_cl_financial_reports,Libro Mayor e-Contabilidad,SII E-Contabilidad,models/general_ledger.py,Gap,P2,Modelo existe pero falta exportación formato SII,"Implementar exportación oficial (3 días)",Dev Team,2026-01-10
REPORTES-012,l10n_cl_financial_reports,Formato XBRL (Opcional),SII futuro 2025+,N/A,Gap,P2,No implementado - podría ser requerido en futuro,"Monitorear normativa SII 2025-2026",Dev Team,2026-03-01
REPORTES-013,l10n_cl_financial_reports,Documentación SII en código,Buena práctica,código general,Gap,P2,Falta referencias específicas a resoluciones SII,"Agregar comentarios con referencias (1 día)",Dev Team,2026-01-20
REPORTES-014,l10n_cl_financial_reports,Anexos Complementarios,Declaraciones juradas SII,N/A,Gap,P2,Faltan reportes complementarios opcionales,"Revisar lista anexos SII + evaluar (variable)",Dev Team,2026-02-01
REPORTES-015,l10n_cl_financial_reports,Multi-compañía isolation,Odoo multi-company,security/security.xml:40,OK,N/A,Record rules + 10 tests de isolación,Ninguna,N/A,N/A
REPORTES-016,l10n_cl_financial_reports,Tests Edge Cases,Testing,tests/test_reports_edge_cases.py,OK,N/A,7 tests: saldos cero + redondeo + multi-moneda + multi-company,Ninguna,N/A,N/A
REPORTES-017,l10n_cl_financial_reports,Tests Performance,Testing,tests/perf/test_reports_stress_balance_income.py,OK,N/A,Tests con medición tiempos,Ninguna,N/A,N/A
REPORTES-018,l10n_cl_financial_reports,QueryCounter en tests,Mejora testing,tests/perf/,Gap,P3,Falta QueryCounter de Odoo para medir queries SQL,"Agregar QueryCounter (0.5 días)",QA Team,2026-01-31
REPORTES-019,l10n_cl_financial_reports,Optimización Cache Service,Performance,models/services/cache_service.py,Gap,P3,Validar uso efectivo del cache service,"Validar y optimizar (1 día)",Dev Team,2026-01-31
REPORTES-020,l10n_cl_financial_reports,i18n Soporte Multiidioma,Odoo i18n,i18n/,OK,N/A,19 idiomas soportados incluyendo es_CL,Ninguna,N/A,N/A
